A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,class
1,97,32,1,0,0,7,13,0,0,0,0,0,41,0,1
1,328,123,1,0,1,7,71,0,0,0,1,0,87,0,1
1,33,0,2,2,9,2,0,0,1,15,0,0,125,1,1
1,38,19,1,0,9,2,0,0,1,14,0,0,94,217,1
0,308,5,1,0,9,2,0,0,0,0,1,2,150,115,1
0,118,39,1,0,9,2,0,0,1,1,0,0,164,125,1
1,105,29,1,0,12,7,9,0,1,11,1,0,31,124,1
1,76,0,1,0,12,7,25,0,1,3,0,2,0,0,1
1,235,166,1,0,9,2,0,0,1,11,0,0,28,1,1
1,153,123,2,2,13,7,3,0,0,0,1,2,160,0,1
1,13,137,1,0,12,7,1,0,0,0,1,0,23,152,1
0,18,0,2,2,11,2,0,0,0,0,0,0,162,0,1
0,162,70,1,0,9,2,0,0,0,0,0,0,36,177,1
1,10,4,1,0,1,7,4,0,0,0,0,0,13,0,1
0,120,49,1,0,9,2,0,0,0,0,0,0,91,1,1
1,159,36,1,0,9,2,0,0,1,1,0,0,168,74,1
1,41,187,1,0,1,7,13,0,0,0,0,0,0,0,1
1,162,137,2,2,10,0,118,0,0,0,0,0,0,1,1
1,234,48,1,0,1,7,36,0,0,0,0,0,0,130,1
1,210,156,1,0,2,7,90,0,0,0,0,0,127,170,1
1,143,21,1,0,4,7,6,0,0,0,1,0,81,0,1
1,305,45,1,0,7,7,91,0,0,0,1,0,0,141,1
1,206,105,1,0,4,7,2,0,0,0,0,0,87,143,1
1,193,0,1,0,1,7,0,0,0,0,0,1,36,0,1
1,142,25,2,2,1,7,1,0,0,0,0,0,62,0,1
1,206,173,1,0,10,0,102,0,0,0,0,0,47,205,1
1,102,10,2,2,1,7,36,0,0,0,1,0,23,0,1
0,89,118,2,2,1,7,0,0,0,0,0,0,8,0,1
1,85,29,1,0,13,7,2,0,1,15,0,0,66,76,1
1,62,16,1,0,1,7,3,0,0,0,0,0,97,0,1
0,211,10,1,0,9,2,0,0,1,2,0,0,41,71,1
0,75,53,1,0,11,4,0,0,1,1,0,0,41,179,1
0,122,137,1,0,13,7,79,0,1,1,1,0,75,2,1
1,158,139,1,0,1,7,73,0,1,11,1,0,23,156,1
0,151,42,1,0,4,3,1,0,1,14,0,0,0,136,1
1,64,117,1,0,12,7,19,0,0,0,0,0,34,0,1
1,9,153,1,0,10,3,10,0,0,0,1,0,8,0,1
0,62,75,1,0,12,3,2,0,0,0,0,0,87,169,1
1,52,154,2,2,10,3,1,0,0,0,0,0,15,3,1
1,15,183,1,0,10,7,3,0,0,0,0,0,148,3,1
1,34,151,2,2,10,7,25,0,0,0,1,0,97,4,1
1,48,13,1,0,1,7,3,0,0,0,0,0,0,160,1
1,114,109,1,0,7,7,19,0,0,0,1,0,160,0,1
1,82,28,1,0,10,3,2,0,0,0,1,0,52,169,1
1,230,120,2,2,10,3,46,0,0,0,1,2,41,0,1
1,72,72,1,0,10,7,10,0,0,0,0,0,0,0,1
1,111,123,2,2,1,7,2,0,0,0,0,2,160,0,1
0,11,16,1,0,10,7,4,0,1,18,1,0,62,140,1
1,81,141,2,2,12,7,10,0,1,1,1,0,75,220,1
0,14,208,1,0,0,7,42,0,1,2,1,0,0,2,1
1,83,13,2,2,1,7,1,0,1,11,0,0,10,195,1
1,194,34,1,0,13,7,28,0,0,0,0,2,74,0,1
1,347,107,2,2,9,2,1,0,1,11,0,0,0,142,1
1,128,4,2,2,12,7,2,0,0,0,0,0,50,89,1
1,89,89,2,2,0,7,1,0,0,0,1,0,8,167,1
1,31,147,2,2,9,2,0,0,0,0,1,0,34,1,1
1,270,32,1,0,2,7,3,0,0,0,1,0,69,0,1
0,277,25,1,0,2,3,78,1,1,1,0,0,90,230,0
1,86,29,1,0,2,7,100,1,1,11,1,0,142,81,0
1,231,208,1,0,13,7,116,1,1,6,0,0,62,165,0
0,47,77,1,0,1,3,113,1,0,0,0,0,91,0,0
0,31,157,2,2,1,3,82,1,0,0,0,0,62,0,0
1,34,208,1,0,4,7,36,1,0,0,0,0,8,94,0
0,94,29,1,0,5,3,26,1,0,0,1,0,23,191,0
1,43,205,1,0,1,7,40,1,1,14,1,0,111,118,0
1,103,16,1,0,1,7,35,1,1,17,1,0,85,0,0
1,46,187,1,0,1,7,39,1,1,14,0,0,41,44,0
1,162,151,1,0,5,7,102,1,1,14,1,0,78,97,0
1,228,166,1,0,6,7,90,1,1,2,1,0,0,0,0
0,338,5,1,0,9,2,0,1,1,1,0,0,59,3,0
1,129,169,1,0,5,7,101,1,1,11,0,0,117,207,0
0,135,149,1,0,1,7,27,1,1,1,1,0,101,0,0
1,160,108,1,0,1,7,118,1,1,8,0,0,0,172,0
0,32,203,1,0,0,7,19,1,1,11,0,0,163,194,0
0,91,137,1,0,2,3,43,1,1,10,0,0,0,171,0
0,154,78,1,0,1,7,62,1,1,1,0,0,52,74,0
1,51,164,2,2,4,7,67,1,1,1,1,0,160,125,0
1,0,151,2,2,4,7,42,1,1,11,1,0,8,4,0
0,272,151,1,0,11,4,0,1,0,0,0,0,1,235,0
0,266,0,1,0,1,7,73,1,0,0,0,0,0,0,0
1,44,214,1,0,8,1,0,1,0,0,0,0,0,0,0
1,71,121,2,2,1,3,75,1,0,0,0,0,0,0,0
1,162,63,1,0,5,7,116,1,0,0,0,0,0,0,0
0,334,166,1,0,0,7,93,1,1,15,0,0,0,238,0
1,6,25,1,0,1,7,42,1,1,17,1,0,95,206,0
0,128,12,1,0,2,7,15,1,1,15,0,0,160,0,0
1,230,50,1,0,5,7,3,1,1,17,1,0,132,0,0
1,46,191,1,0,12,7,36,1,1,1,0,0,23,102,0
0,146,171,1,0,8,1,67,1,1,17,1,0,170,171,0
1,73,137,1,0,13,7,31,1,1,1,0,0,68,221,0
0,69,200,1,0,2,7,42,1,1,2,0,0,160,239,1
0,133,49,1,0,2,7,71,1,0,0,1,0,123,0,1
1,269,45,1,0,1,7,73,1,0,0,1,0,15,0,1
1,249,51,1,0,12,7,5,1,0,0,0,0,23,0,1
0,322,11,1,0,10,0,25,1,0,0,1,0,64,91,1
0,314,189,1,0,12,3,117,1,1,14,1,0,1,170,1
1,262,134,1,0,2,3,5,1,1,1,0,0,159,232,1
0,98,111,1,0,1,3,78,1,0,0,1,0,97,1,1
0,90,22,1,0,0,3,42,1,0,0,0,0,112,0,1
1,261,115,1,0,10,0,19,1,0,0,0,0,146,0,1
1,243,28,1,0,9,2,0,1,0,0,0,0,12,1,1
1,166,120,1,0,0,7,121,1,0,0,1,0,143,0,1
0,186,47,2,2,9,2,0,1,0,0,0,0,87,0,1
0,93,39,1,0,9,2,0,1,0,0,0,0,160,0,1
1,200,141,1,0,5,3,91,1,0,0,1,0,152,0,1
1,190,51,1,0,4,0,6,1,0,0,1,0,24,0,1
1,349,173,1,0,1,7,14,1,0,0,0,0,0,138,1
1,36,45,2,2,6,7,62,1,0,0,1,0,1,79,1
1,257,137,1,0,10,0,25,1,0,0,0,0,0,80,1
1,39,54,2,2,12,3,22,1,0,0,1,0,15,0,1
1,208,150,1,0,4,7,28,1,0,0,1,0,41,0,1
1,147,33,2,2,10,0,13,1,1,2,1,0,13,118,1
1,265,67,2,2,7,7,36,1,0,0,0,2,0,0,1
1,82,15,2,2,4,7,76,1,1,18,1,0,45,139,1
1,84,45,1,0,7,3,44,1,1,18,0,0,41,134,0
1,180,32,1,0,5,7,19,1,1,20,1,0,91,155,0
1,286,78,1,0,13,7,59,1,0,0,0,2,4,0,0
1,348,131,1,0,8,8,51,1,1,1,1,0,0,14,0
1,298,54,1,0,10,0,0,1,1,3,0,0,0,32,0
1,195,99,1,0,3,5,109,1,1,22,1,0,0,41,0
1,224,144,1,0,4,7,93,1,1,6,0,0,106,42,0
0,68,70,2,2,5,3,19,1,1,15,0,0,0,132,0
1,251,14,1,0,1,3,5,1,1,18,0,0,52,234,0
1,141,159,1,0,4,7,121,1,1,11,1,0,89,0,0
0,170,44,1,0,4,7,27,1,1,8,0,0,8,86,0
1,299,1,1,0,5,3,1,1,0,0,0,0,0,126,0
0,73,116,1,0,2,3,68,1,1,20,1,0,15,104,0
0,94,81,1,0,6,3,90,1,1,18,0,0,112,164,0
1,114,36,1,0,5,3,30,1,0,0,0,0,0,178,0
1,79,45,1,0,1,3,34,1,0,0,0,0,118,80,0
1,88,82,1,0,2,3,38,1,0,0,1,0,8,0,0
1,254,167,1,0,2,3,51,1,0,0,1,0,164,0,0
0,50,137,1,0,0,7,1,1,0,0,0,0,1,0,0
1,76,72,1,0,4,3,65,1,1,3,1,0,78,121,0
0,96,126,1,0,5,3,23,1,0,0,0,0,97,0,0
1,260,12,2,2,1,7,9,1,1,21,1,0,81,64,0
0,203,30,1,0,0,7,19,1,1,15,0,0,0,60,0
1,330,124,1,0,4,7,42,1,1,17,1,0,148,188,0
1,51,137,2,2,7,7,27,1,1,21,1,0,23,1,0
1,62,17,2,2,5,7,1,1,1,1,1,0,161,193,0
0,339,95,1,0,9,2,0,1,1,3,1,0,0,47,0
0,45,54,1,0,1,3,25,1,1,15,0,0,136,52,0
1,171,5,2,2,1,3,88,1,1,1,1,0,121,222,0
1,148,16,1,0,1,7,42,1,1,3,0,0,86,181,0
1,96,179,1,0,1,7,25,1,1,14,0,0,0,0,0
1,230,48,1,0,1,7,36,1,1,2,0,0,37,166,0
1,229,179,1,0,13,7,31,1,1,17,1,0,3,15,0
1,164,27,1,0,5,7,32,1,1,21,1,0,82,135,0
1,244,1,1,0,8,7,1,0,1,1,0,2,146,0,0
1,287,156,1,0,13,7,3,1,0,0,1,0,55,0,0
1,174,203,2,2,4,3,107,1,0,0,1,0,21,0,0
0,127,99,2,2,8,8,0,1,0,0,0,0,0,39,0
1,346,104,1,0,9,2,0,1,0,0,1,0,0,0,0
1,338,127,1,0,5,3,60,1,1,22,1,0,0,4,0
1,300,99,1,0,1,7,127,1,1,22,0,0,0,0,0
1,113,51,2,2,1,7,25,1,1,17,1,0,23,187,0
1,98,18,1,0,1,7,7,1,1,20,1,0,168,176,0
1,148,183,1,0,6,7,85,1,1,21,0,0,89,26,0
1,117,25,1,0,1,3,95,1,1,14,1,0,85,55,0
1,77,0,1,0,1,7,0,0,0,0,0,1,36,0,0
1,189,170,1,0,4,7,2,0,0,0,1,0,78,195,0
1,225,8,1,0,12,7,2,1,0,0,1,0,75,0,0
1,103,25,1,0,1,0,6,1,0,0,0,0,93,100,0
0,273,137,1,0,1,7,70,1,1,21,1,0,109,157,0
0,57,179,1,0,0,7,73,1,1,14,0,0,160,233,0
1,42,4,1,0,2,7,25,0,1,1,0,0,62,216,0
1,47,118,1,0,1,7,62,1,1,3,1,0,41,126,0
0,140,15,1,0,12,7,14,1,1,15,0,0,104,171,0
1,255,51,2,2,1,7,0,0,0,0,1,0,19,1,1
1,144,39,2,2,12,7,6,0,0,0,0,0,54,0,1
1,42,9,1,0,2,7,3,0,0,0,0,0,41,0,1
1,80,19,1,0,1,3,2,1,0,0,0,0,34,0,1
0,141,51,2,2,12,7,30,0,0,0,1,0,75,0,1
1,7,1,1,0,1,7,1,0,0,0,0,0,0,0,0
1,172,146,1,0,12,7,13,0,0,0,1,0,59,0,1
1,162,1,2,2,7,7,95,0,0,0,1,0,129,0,1
1,282,155,1,0,5,0,2,0,0,0,1,0,142,0,1
1,41,39,2,2,12,7,3,0,0,0,0,0,15,151,1
1,122,142,2,2,2,3,104,0,1,11,1,0,99,1,1
1,63,26,1,0,4,7,7,0,1,1,0,0,117,120,1
1,35,66,1,0,1,0,15,0,1,11,1,0,41,207,1
0,222,157,1,0,1,7,3,0,0,0,0,0,23,0,1
1,139,39,1,0,1,3,6,0,1,11,1,0,112,13,1
1,71,25,1,0,10,7,38,0,1,1,1,0,112,231,1
1,171,95,2,2,9,2,0,0,1,11,0,0,23,1,1
1,141,163,1,0,13,7,62,0,1,1,1,0,129,204,1
1,26,62,2,2,0,7,3,1,0,0,0,0,8,146,1
1,65,115,1,0,10,7,3,0,0,0,0,0,23,2,1
1,71,5,1,0,1,4,67,0,0,0,1,2,0,0,0
0,101,0,1,0,1,7,0,0,0,0,0,1,36,0,0
1,31,0,1,0,2,7,17,0,0,0,0,0,23,1,1
1,58,26,2,2,6,7,17,0,0,0,0,0,23,0,1
1,83,78,1,0,1,7,64,0,0,0,0,2,160,0,1
1,63,195,2,2,10,0,4,0,0,0,1,0,36,0,1
1,205,121,1,0,9,2,0,0,0,0,0,0,0,4,1
1,138,88,1,0,7,3,13,0,0,0,0,0,56,0,1
0,38,21,1,0,4,7,40,0,0,0,0,0,52,169,1
0,74,39,1,0,2,7,6,0,0,0,1,0,8,223,1
0,119,10,1,0,13,3,3,0,1,1,1,0,71,13,1
0,226,45,1,0,9,2,0,0,0,0,0,0,158,0,1
1,173,113,2,2,12,2,0,0,0,0,0,0,8,0,1
0,83,24,1,0,4,7,6,0,1,1,1,0,62,151,1
1,23,119,1,0,1,5,24,0,1,11,1,0,23,192,1
1,243,16,2,2,13,7,13,0,0,0,1,0,12,0,1
1,37,210,1,0,0,7,20,0,0,0,0,0,160,141,1
1,133,148,1,0,0,7,6,0,0,0,1,0,1,0,1
1,202,25,1,0,12,7,36,0,0,0,1,0,58,0,1
1,189,124,1,0,10,0,73,0,0,0,1,0,59,80,1
1,180,115,2,2,6,7,90,0,0,0,1,0,41,48,1
1,163,25,2,2,0,7,90,0,0,0,1,0,87,0,1
0,306,187,1,0,0,3,82,0,0,0,0,0,0,0,1
1,206,14,2,2,4,7,7,0,0,0,1,0,83,78,1
1,215,122,1,0,6,7,4,0,0,0,1,0,0,174,1
0,50,200,1,0,1,7,4,0,0,0,0,0,0,142,1
1,85,203,1,0,0,7,6,0,0,0,1,0,0,0,1
1,101,11,1,0,12,3,90,0,0,0,1,0,91,0,1
0,199,149,1,0,9,2,0,0,1,18,0,0,0,80,1
1,283,149,1,0,10,0,25,0,0,0,0,0,1,78,1
0,3,194,1,0,2,7,3,0,1,1,1,0,0,62,1
0,69,13,1,0,10,7,8,0,0,0,1,2,17,0,1
1,57,72,1,0,10,7,13,1,0,0,1,0,1,204,1
0,82,27,1,0,2,7,10,0,1,1,1,0,41,16,1
0,52,166,2,2,9,2,0,0,0,0,0,0,0,0,1
1,102,142,1,0,1,3,68,0,1,1,1,0,116,87,1
0,227,49,1,0,0,7,6,0,0,0,0,0,0,148,1
0,2,12,1,0,1,7,25,0,0,0,0,0,8,71,1
0,133,149,1,0,1,7,6,0,1,1,1,0,111,58,1
1,66,203,1,0,0,7,2,0,0,0,0,0,0,0,1
1,144,146,1,0,1,7,4,0,0,0,0,0,50,0,1
0,81,45,1,0,4,7,23,0,0,0,1,0,23,0,1
1,169,151,2,2,6,7,36,0,0,0,1,0,8,0,1
1,158,45,2,2,4,7,1,0,0,0,0,2,23,0,1
1,166,1,2,2,13,7,1,0,0,0,0,0,0,0,1
0,60,76,1,0,1,7,6,0,0,0,1,0,34,0,1
0,20,17,1,0,1,7,42,0,1,1,1,0,160,169,1
1,150,16,1,0,7,3,2,0,0,0,1,2,64,0,1
1,301,110,2,2,9,2,36,0,0,0,0,0,8,1,1
1,276,177,1,0,4,7,110,0,0,0,0,0,130,55,1
1,104,87,1,0,6,7,13,0,0,0,0,0,0,78,1
0,296,28,1,0,0,7,13,0,0,0,1,0,62,22,1
1,140,109,2,2,8,3,62,0,0,0,0,0,67,67,1
0,215,120,1,0,10,3,5,0,0,0,0,0,68,106,1
0,249,33,1,0,0,7,17,0,0,0,0,0,62,103,1
0,153,64,1,0,2,3,2,0,1,4,1,0,11,124,1
1,36,190,1,0,13,7,1,0,1,1,0,0,1,1,1
0,20,58,1,0,9,2,0,0,0,0,0,0,0,170,1
0,42,39,1,0,1,7,0,0,0,0,0,0,0,0,1
1,37,10,1,0,12,7,7,0,0,0,0,0,75,144,1
1,125,32,2,2,7,3,82,0,0,0,0,0,32,180,1
1,12,143,1,0,10,7,8,0,0,0,1,0,15,78,1
1,209,25,2,2,7,7,15,0,0,0,0,0,62,124,1
1,241,143,1,0,13,7,90,0,0,0,1,2,112,0,1
1,52,56,2,2,8,3,30,0,0,0,0,0,68,0,1
0,71,25,1,0,1,7,62,0,1,11,1,0,41,149,1
0,97,90,2,2,9,2,62,0,1,1,1,0,41,1,1
1,20,7,1,0,0,7,1,0,0,0,0,0,75,214,1
1,198,145,1,0,1,3,126,0,0,0,1,0,0,0,1
